YEAR,GEO,FUEL,SUPPLY
2005,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2006,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2007,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2008,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2009,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2010,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2011,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2012,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2013,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2014,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2015,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
2016,Quebec,Gas plant natural gas liquids (NGL's),Stock variation
1995,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
1996,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
1997,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
1998,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
1999,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
2000,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
2001,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
2009,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
2010,Quebec,Gas plant natural gas liquids (NGL's),Other adjustments
1995,Quebec,Gas plant natural gas liquids (NGL's),Availability
1996,Quebec,Gas plant natural gas liquids (NGL's),Availability
1997,Quebec,Gas plant natural gas liquids (NGL's),Availability
1998,Quebec,Gas plant natural gas liquids (NGL's),Availability
1999,Quebec,Gas plant natural gas liquids (NGL's),Availability
2000,Quebec,Gas plant natural gas liquids (NGL's),Availability
2001,Quebec,Gas plant natural gas liquids (NGL's),Availability
2002,Quebec,Gas plant natural gas liquids (NGL's),Availability
2003,Quebec,Gas plant natural gas liquids (NGL's),Availability
2004,Quebec,Gas plant natural gas liquids (NGL's),Availability
2005,Quebec,Gas plant natural gas liquids (NGL's),Availability
2006,Quebec,Gas plant natural gas liquids (NGL's),Availability
2007,Quebec,Gas plant natural gas liquids (NGL's),Availability
2008,Quebec,Gas plant natural gas liquids (NGL's),Availability
2009,Quebec,Gas plant natural gas liquids (NGL's),Availability
2010,Quebec,Gas plant natural gas liquids (NGL's),Availability
2011,Quebec,Gas plant natural gas liquids (NGL's),Availability
2012,Quebec,Gas plant natural gas liquids (NGL's),Availability
2013,Quebec,Gas plant natural gas liquids (NGL's),Availability
2014,Quebec,Gas plant natural gas liquids (NGL's),Availability
2015,Quebec,Gas plant natural gas liquids (NGL's),Availability
2016,Quebec,Gas plant natural gas liquids (NGL's),Availability
2002,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2003,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2004,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2005,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2006,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2007,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2008,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2009,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2010,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2011,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
2013,Quebec,Gas plant natural gas liquids (NGL's),Transformed to refined petroleum products
1995,Quebec,Gas plant natural gas liquids (NGL's),Net supply
1996,Quebec,Gas plant natural gas liquids (NGL's),Net supply
1997,Quebec,Gas plant natural gas liquids (NGL's),Net supply
1998,Quebec,Gas plant natural gas liquids (NGL's),Net supply
1999,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2000,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2001,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2002,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2003,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2004,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2005,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2006,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2007,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2008,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2009,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2010,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2011,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2012,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2013,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2014,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2015,Quebec,Gas plant natural gas liquids (NGL's),Net supply
2016,Quebec,Gas plant natural gas liquids (NGL's),Net supply
1995,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
1996,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
1997,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
1998,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
1999,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2000,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2001,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2002,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2003,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2004,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2005,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2006,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2007,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2008,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2009,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2010,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2011,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2012,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
2013,Quebec,Gas plant natural gas liquids (NGL's),Producer consumption
1995,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
1996,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
1997,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
1998,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
1999,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2000,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2001,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2002,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2003,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2004,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2005,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2006,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2007,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2008,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2009,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2010,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2011,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
2012,Quebec,Gas plant natural gas liquids (NGL's),Non-energy use
1995,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
1996,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
1997,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
1998,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
1999,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2000,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2001,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2002,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2003,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2004,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2005,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2006,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2007,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2008,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2009,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2010,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2011,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2012,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2013,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2014,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2015,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
2016,Quebec,Gas plant natural gas liquids (NGL's),"Energy use, final demand"
1995,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
1996,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
1997,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
1998,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
1999,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2000,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2001,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2002,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2003,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2004,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2005,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2006,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2007,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2008,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2009,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2010,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2011,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2012,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2013,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2014,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2015,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
2016,Quebec,Gas plant natural gas liquids (NGL's),Total industrial
1995,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
1996,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
1997,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
1998,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
1999,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2000,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2001,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2002,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2003,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2004,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2005,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2006,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2007,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2008,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2009,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2010,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2011,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2012,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2013,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2014,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2015,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2016,Quebec,Gas plant natural gas liquids (NGL's),Mining and oil and gas extraction
2005,Quebec,Gas plant natural gas liquids (NGL's),Total manufacturing
2005,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2006,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2007,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2008,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2012,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2013,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2014,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2015,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2016,Quebec,Gas plant natural gas liquids (NGL's),Pulp and paper manufacturing
2005,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2009,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2010,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2011,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2012,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2013,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2014,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2015,Quebec,Gas plant natural gas liquids (NGL's),Iron and steel manufacturing
2005,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2006,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2007,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2008,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2009,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2010,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2011,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2012,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2013,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2014,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2015,Quebec,Gas plant natural gas liquids (NGL's),Aluminum and non-ferrous metal manufacturing
2005,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2006,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2007,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2008,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2009,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2010,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2011,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2014,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2015,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2016,Quebec,Gas plant natural gas liquids (NGL's),Chemicals and fertilizers manufacturing
2006,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2007,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2008,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2009,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2010,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2011,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2012,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2013,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2014,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
2015,Quebec,Gas plant natural gas liquids (NGL's),All other manufacturing
1995,Quebec,Gas plant natural gas liquids (NGL's),Construction
1996,Quebec,Gas plant natural gas liquids (NGL's),Construction
1997,Quebec,Gas plant natural gas liquids (NGL's),Construction
1998,Quebec,Gas plant natural gas liquids (NGL's),Construction
1999,Quebec,Gas plant natural gas liquids (NGL's),Construction
2000,Quebec,Gas plant natural gas liquids (NGL's),Construction
2001,Quebec,Gas plant natural gas liquids (NGL's),Construction
2002,Quebec,Gas plant natural gas liquids (NGL's),Construction
2003,Quebec,Gas plant natural gas liquids (NGL's),Construction
2004,Quebec,Gas plant natural gas liquids (NGL's),Construction
2005,Quebec,Gas plant natural gas liquids (NGL's),Construction
2006,Quebec,Gas plant natural gas liquids (NGL's),Construction
2007,Quebec,Gas plant natural gas liquids (NGL's),Construction
2008,Quebec,Gas plant natural gas liquids (NGL's),Construction
2009,Quebec,Gas plant natural gas liquids (NGL's),Construction
1995,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
1996,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
1997,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
1998,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
1999,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2000,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2001,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2002,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2003,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2004,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2005,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2006,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2007,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2008,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2009,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2010,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2011,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2012,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2013,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2014,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2015,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
2016,Quebec,Gas plant natural gas liquids (NGL's),Total transportation
1995,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
1996,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
1997,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
1998,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
1999,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2000,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2001,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2002,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2003,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2004,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2005,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2006,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2007,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2008,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2009,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2010,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2011,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2012,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2013,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2014,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2015,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
2016,Quebec,Gas plant natural gas liquids (NGL's),Road transport and urban transit
1995,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
1996,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
1997,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
1998,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
1999,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2000,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2001,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2002,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2003,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2004,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2005,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2006,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2007,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2008,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2009,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2010,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2011,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2012,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2013,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2014,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2015,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
2016,Quebec,Gas plant natural gas liquids (NGL's),Agriculture
1995,Quebec,Gas plant natural gas liquids (NGL's),Residential
1996,Quebec,Gas plant natural gas liquids (NGL's),Residential
1997,Quebec,Gas plant natural gas liquids (NGL's),Residential
1998,Quebec,Gas plant natural gas liquids (NGL's),Residential
1999,Quebec,Gas plant natural gas liquids (NGL's),Residential
2000,Quebec,Gas plant natural gas liquids (NGL's),Residential
2001,Quebec,Gas plant natural gas liquids (NGL's),Residential
2002,Quebec,Gas plant natural gas liquids (NGL's),Residential
2003,Quebec,Gas plant natural gas liquids (NGL's),Residential
2004,Quebec,Gas plant natural gas liquids (NGL's),Residential
2005,Quebec,Gas plant natural gas liquids (NGL's),Residential
2006,Quebec,Gas plant natural gas liquids (NGL's),Residential
2007,Quebec,Gas plant natural gas liquids (NGL's),Residential
2008,Quebec,Gas plant natural gas liquids (NGL's),Residential
2009,Quebec,Gas plant natural gas liquids (NGL's),Residential
2010,Quebec,Gas plant natural gas liquids (NGL's),Residential
2011,Quebec,Gas plant natural gas liquids (NGL's),Residential
2012,Quebec,Gas plant natural gas liquids (NGL's),Residential
2013,Quebec,Gas plant natural gas liquids (NGL's),Residential
2014,Quebec,Gas plant natural gas liquids (NGL's),Residential
2015,Quebec,Gas plant natural gas liquids (NGL's),Residential
2016,Quebec,Gas plant natural gas liquids (NGL's),Residential
1995,Quebec,Gas plant natural gas liquids (NGL's),Public administration
1996,Quebec,Gas plant natural gas liquids (NGL's),Public administration
1997,Quebec,Gas plant natural gas liquids (NGL's),Public administration
1998,Quebec,Gas plant natural gas liquids (NGL's),Public administration
1999,Quebec,Gas plant natural gas liquids (NGL's),Public administration
2000,Quebec,Gas plant natural gas liquids (NGL's),Public administration
2001,Quebec,Gas plant natural gas liquids (NGL's),Public administration
1995,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
1996,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
1997,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
1998,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
1999,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2000,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2001,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2002,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2003,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2004,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2005,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2006,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2007,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2008,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2009,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2010,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2011,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2012,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2013,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2014,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2015,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
2016,Quebec,Gas plant natural gas liquids (NGL's),Commercial and other institutional
1995,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
1996,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
1997,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
1998,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
1999,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2000,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2001,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2002,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2003,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2004,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2005,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2006,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2007,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2008,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2009,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2010,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2011,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2012,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2013,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2014,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
2016,Quebec,Gas plant natural gas liquids (NGL's),Statistical difference
1995,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
1996,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
1997,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
1998,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
1999,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2000,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2001,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2002,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2003,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2004,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2005,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2006,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2007,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2008,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2009,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2010,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2011,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2012,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2013,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2014,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2015,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
2016,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Production
1995,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Exports
1996,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Exports
1997,Quebec,"Primary electricity, hydro and nuclear (gigawatt hours)",Exports
